GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment2,com.se310.store.singleton,StoreService,314,594,50,60,53,154,49,36,3,27
assignment2,com.se310.store.model,Device,25,34,0,0,11,9,7,3,7,3
assignment2,com.se310.store.model,InventoryLocation,7,14,0,0,3,5,2,2,2,2
assignment2,com.se310.store.model,AisleLocation,0,15,0,0,0,3,0,1,0,1
assignment2,com.se310.store.model,Temperature,0,33,0,0,0,6,0,1,0,1
assignment2,com.se310.store.model,Appliance,0,17,0,0,0,6,0,3,0,3
assignment2,com.se310.store.model,CustomerAgeGroup,15,0,0,0,3,0,1,0,1,0
assignment2,com.se310.store.model,Basket,87,268,9,17,17,64,11,18,2,14
assignment2,com.se310.store.model,Product,46,44,0,0,20,11,13,3,13,3
assignment2,com.se310.store.model,InventoryType,0,15,0,0,0,3,0,1,0,1
assignment2,com.se310.store.model,SensorType,0,15,0,0,0,3,0,1,0,1
assignment2,com.se310.store.model,Aisle,34,85,1,3,13,19,9,7,8,6
assignment2,com.se310.store.model,ShelfLevel,0,21,0,0,0,4,0,1,0,1
assignment2,com.se310.store.model,StoreException,8,15,0,0,4,6,2,3,2,3
assignment2,com.se310.store.model,CustomerType,0,15,0,0,0,3,0,1,0,1
assignment2,com.se310.store.model,CommandException,8,22,0,0,4,9,2,5,2,5
assignment2,com.se310.store.model,StoreLocation,8,21,0,0,4,7,2,4,2,4
assignment2,com.se310.store.model,Inventory,26,75,1,3,12,19,8,9,7,8
assignment2,com.se310.store.model,ApplianceType,0,21,0,0,0,4,0,1,0,1
assignment2,com.se310.store.model,CommandProcessor,3,815,0,60,2,106,0,33,0,3
assignment2,com.se310.store.model,Customer,49,69,0,0,21,18,14,8,14,8
assignment2,com.se310.store.model,Sensor,0,12,0,0,0,4,0,2,0,2
assignment2,com.se310.store.model,Store,84,114,9,5,21,23,16,7,9,7
assignment2,com.se310.store.model,Shelf,41,79,3,3,15,17,11,6,8,6
assignment2,com.se310.store.observer,EventLogger,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.observer,AlertMonitor,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.observer,DeviceStatistics,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.observer,StoreNotifier,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.strategy,StandardInventoryUpdateStrategy,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.strategy,FlexibleInventoryUpdateStrategy,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.proxy,StoreServiceProxy,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.factory,CustomerFactory,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.factory,ProductFactory,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.facade,StoreFacade,3,0,0,0,1,0,1,0,1,0
