GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment2,com.se310.store.singleton,StoreService,332,614,55,59,59,158,51,37,3,28
assignment2,com.se310.store.model,Device,32,69,1,3,14,18,9,6,8,5
assignment2,com.se310.store.model,InventoryLocation,7,14,0,0,3,5,2,2,2,2
assignment2,com.se310.store.model,AisleLocation,0,15,0,0,0,3,0,1,0,1
assignment2,com.se310.store.model,Temperature,0,33,0,0,0,6,0,1,0,1
assignment2,com.se310.store.model,Appliance,0,25,0,0,0,8,0,3,0,3
assignment2,com.se310.store.model,CustomerAgeGroup,15,0,0,0,3,0,1,0,1,0
assignment2,com.se310.store.model,Basket,76,279,8,18,15,66,10,19,2,14
assignment2,com.se310.store.model,Product,46,44,0,0,20,11,13,3,13,3
assignment2,com.se310.store.model,InventoryType,0,15,0,0,0,3,0,1,0,1
assignment2,com.se310.store.model,SensorType,0,15,0,0,0,3,0,1,0,1
assignment2,com.se310.store.model,Aisle,34,85,1,3,13,19,9,7,8,6
assignment2,com.se310.store.model,ShelfLevel,0,21,0,0,0,4,0,1,0,1
assignment2,com.se310.store.model,StoreException,8,15,0,0,4,6,2,3,2,3
assignment2,com.se310.store.model,CustomerType,0,15,0,0,0,3,0,1,0,1
assignment2,com.se310.store.model,CommandException,8,22,0,0,4,9,2,5,2,5
assignment2,com.se310.store.model,StoreLocation,8,21,0,0,4,7,2,4,2,4
assignment2,com.se310.store.model,Inventory,28,70,1,1,11,28,7,10,6,10
assignment2,com.se310.store.model,ApplianceType,0,21,0,0,0,4,0,1,0,1
assignment2,com.se310.store.model,CommandProcessor,3,830,0,60,2,108,0,33,0,3
assignment2,com.se310.store.model,Customer,49,69,0,0,21,18,14,8,14,8
assignment2,com.se310.store.model,Sensor,0,16,0,0,0,5,0,2,0,2
assignment2,com.se310.store.model,Store,84,114,9,5,21,23,16,7,9,7
assignment2,com.se310.store.model,Shelf,41,96,4,5,15,28,12,7,8,6
assignment2,com.se310.store.observer,EventLogger,0,46,1,3,0,15,1,4,0,3
assignment2,com.se310.store.observer,AlertMonitor,47,0,14,0,10,0,10,0,3,0
assignment2,com.se310.store.observer,DeviceStatistics,0,91,2,5,0,16,2,5,0,3
assignment2,com.se310.store.observer,StoreNotifier,0,16,0,0,0,5,0,2,0,2
assignment2,com.se310.store.strategy,StandardInventoryUpdateStrategy,6,25,1,3,1,6,1,3,0,2
assignment2,com.se310.store.strategy,FlexibleInventoryUpdateStrategy,6,36,1,3,1,7,1,3,0,2
assignment2,com.se310.store.proxy,StoreServiceProxy,15,0,0,0,5,0,2,0,2,0
assignment2,com.se310.store.factory,CustomerFactory,38,0,3,0,5,0,4,0,2,0
assignment2,com.se310.store.factory,ProductFactory,3,0,0,0,1,0,1,0,1,0
assignment2,com.se310.store.facade,StoreFacade,3,0,0,0,1,0,1,0,1,0
